Orthogroup	Aco	Ath	Atr	CS_A	CS_B	CS_D	CS_Un	Kni	Mpo	Osa	Ptr	Vvi	Zma
OG0028846	Aco000034.1												
OG0028847	Aco000043.1												
OG0028848	Aco000048.1												
OG0028849	Aco000057.1												
OG0028850	Aco000068.1												
OG0028851	Aco000073.1												
OG0028852	Aco000076.1												
OG0028853	Aco000149.1												
OG0028854	Aco000163.1												
OG0028855	Aco000166.1												
OG0028856	Aco000167.1												
OG0028857	Aco000204.1												
OG0028858	Aco000205.1												
OG0028859	Aco000231.1												
OG0028860	Aco000241.1												
OG0028861	Aco000252.1												
OG0028862	Aco000264.1												
OG0028863	Aco000278.1												
OG0028864	Aco000287.1												
OG0028865	Aco000290.1												
OG0028866	Aco000324.1												
OG0028867	Aco000325.1												
OG0028868	Aco000326.1												
OG0028869	Aco000345.1												
OG0028870	Aco000346.1												
OG0028871	Aco000372.1												
OG0028872	Aco000387.1												
OG0028873	Aco000400.1												
OG0028874	Aco000408.1												
OG0028875	Aco000412.1												
OG0028876	Aco000420.1												
OG0028877	Aco000435.1												
OG0028878	Aco000450.1												
OG0028879	Aco000501.1												
OG0028880	Aco000507.1												
OG0028881	Aco000516.1												
OG0028882	Aco000521.1												
OG0028883	Aco000535.1												
OG0028884	Aco000554.1												
OG0028885	Aco000569.1												
OG0028886	Aco000573.1												
OG0028887	Aco000577.1												
OG0028888	Aco000583.1												
OG0028889	Aco000589.1												
OG0028890	Aco000604.1												
OG0028891	Aco000639.1												
OG0028892	Aco000655.1												
OG0028893	Aco000673.1												
OG0028894	Aco000684.1												
OG0028895	Aco000688.1												
OG0028896	Aco000691.1												
OG0028897	Aco000706.1												
OG0028898	Aco000711.1												
OG0028899	Aco000715.1												
OG0028900	Aco000725.1												
OG0028901	Aco000731.1												
OG0028902	Aco000745.1												
OG0028903	Aco000779.1												
OG0028904	Aco000785.1												
OG0028905	Aco000790.1												
OG0028906	Aco000796.1												
OG0028907	Aco000799.1												
OG0028908	Aco000800.1												
OG0028909	Aco000804.1												
OG0028910	Aco000820.1												
OG0028911	Aco000830.1												
